KommentarId,QuellenId,Plattform,Datum,Length,KommentarDEU
70404033,1,ZeitOnline,20240614210019,117,"Hmm, die DFB-Elf ist eine Wundertüte. Mal schauen, wie weit es trägt, da jetzt zumindest die Euphorie entfacht wurde."
70404012,1,ZeitOnline,20240614205838,107,Endlich wieder schöner deutscher Fußball. Da muss ich ja direkt die schwarz-rot-goldene Hawaiikette suchen 
70404005,1,ZeitOnline,20240614205823,17,Ist etwa Fußball?
70404000,1,ZeitOnline,20240614205803,43,"Schade, hätte Schottland den Sieg gegönnt! "
70403999,1,ZeitOnline,20240614205759,22,Sommermärchen täterrää
70403992,1,ZeitOnline,20240614205715,35,Noch ist die Vorrunde nicht vorbei.
70403987,1,ZeitOnline,20240614205638,11,Wundervoll 
70403984,1,ZeitOnline,20240614205629,37,Wohl verdient.Herzlichen Glückwunsch.
70403980,1,ZeitOnline,20240614205619,31,Hat das Bock gemacht oder was?!
70481398,2,ZeitOnline,20240620120653,337,"War ein gutes Spiel. Ich muss festhalten, es macht wieder Spaß die Mannschaft beim Kicken zuzusehen. Gündogan super, ein echter Leader, so hab ich den noch nie gesehen. Der einzige, der mir negativ auffiel war Sane. 3-4 Mal wirklich aussichtsreich den Ball doch recht kläglich verdattelt. Bei ihm ist noch deutlich Potential nach oben.  "
70476716,2,ZeitOnline,20240620072536,234,"Kurz nach dem Start verkackt Kimmich und Neuer rettet, kurz vor Ende verkackt Neuer und Kimmich rettet.Dass Musiala so gut ist, ist klar. Er ist ja in Stuttgart gebürtig  :-)))Ilkay ist großartig. Die Trikots sind immer noch hässlich."
70475929,2,ZeitOnline,20240620064559,702,"Zum Spiel. Ja es gab ein paar Mängel, aber es gab auch lange richtig souveräne Phasen. In der jüngeren Vergangenheit, gab es ja meist eine lange Mängelliste und nach guten Aktionen musste man suchen.Europameister sind wir noch nicht, aber wir gehören immerhin zu denen mit denen man rechnen muss.Ist klar ein Verdienst von Nagelsmann. Mit Wirtz und Musiala hat er zwei Supertalente sinnvoll ins Spiel eingebunden.Mit Tah und Rüdiger ist die IV immer noch nicht fehlerfrei, aber deutlich stabiler, als alles was wir lange Zeit hatten. Er hat Kroos super eingebunden und nun sogar Gündoğan. Kimmich hat seine Position gefunden und Mittelstädt ist nicht fehlerfrei, aber verlässlicher als alles bis dahin."
70475905,2,ZeitOnline,20240620064428,336,"Die EM wird erst ab dem Viertelfinale anspruchsvoll, das hängt mit dem neuen Modus zusammen. Früher konnten sich zum Beispiel nur 8 Mannschaften qualifizieren. Die UEFA war besonders stolz auf ihre Auslese. Vorteil: Man stand gleich nach der Vorrunde im Halbfinale. Die Älteren unter uns werden sich vielleicht erinnern....EM 84,88,92.."
