Nummer,Min,Max,Spannweite,Mittelwert,Varianz,Standardabweichung,Median,25Quantil,75Quantil,Sentiment
76,-1.0,-0.2,0.8,-6.821428571428571,0.6892857142857143,0.26254251356413005,-0.8,-0.825,-0.4,negativ
77,-0.9,-0.1,0.8,-5.035714285714286,0.5591269841269841,0.2364586611073877,-0.5,-0.7,-0.3,negativ
78,-0.5,1.0,1.5,7.392857142857143,1.3284391534391533,0.3644775923756018,0.9,0.6,1.0,positiv
79,-0.7,0.9,1.6,-3.5714285714285716,0.8846560846560847,0.29743168705705936,-0.4,-0.5,-0.3,negativ
80,-0.2,0.5,0.7,1.3214285714285714,0.3633597883597883,0.19061998540546274,0.1,0.0,0.2,neutral
81,0.2,0.9,0.7,5.821428571428571,0.4152116402116402,0.2037674263005842,0.6,0.475,0.725,positiv
82,-0.9,0.6,1.5,-5.678571428571429,0.970767195767196,0.3115713715615085,-0.7,-0.8,-0.4,negativ
83,-0.8,1.0,1.8,2.7857142857142856,1.024867724867725,0.32013555330011767,0.2,0.2,0.4,positiv
84,-1.0,-0.3,0.7,-6.214285714285714,0.3137566137566138,0.17713176275208625,-0.6,-0.7,-0.5,negativ
85,-1.0,0.0,1.0,-6.285714285714286,0.635978835978836,0.25218620818332554,-0.65,-0.8,-0.5,negativ
86,-1.0,-0.3,0.7,-9.071428571428571,0.28835978835978837,0.16981159806084753,-1.0,-1.0,-0.875,negativ
87,-1.0,0.0,1.0,-5.214285714285714,0.735978835978836,0.2712892987161189,-0.6,-0.7,-0.3,negativ
88,-1.0,0.0,1.0,-5.714285714285714,0.5174603174603174,0.22747754119040353,-0.6,-0.725,-0.4,negativ
89,0.2,1.0,0.8,8.178571428571429,0.5189153439153439,0.2277971342917518,0.9,0.8,1.0,positiv
90,-0.5,0.8,1.3,2.3214285714285716,0.904100529100529,0.30068264484345103,0.2,0.1,0.4,neutral
91,0.0,0.8,0.8,3.4074074074074074,0.301994301994302,0.1737798325451783,0.4,0.2,0.45,positiv
92,0.1,0.9,0.8,5.814814814814815,0.44643874643874637,0.21129097151528894,0.6,0.45,0.7,positiv
93,-1.0,-0.2,0.8,-6.074074074074074,0.3994301994301994,0.1998574990912774,-0.6,-0.7,-0.5,negativ
94,-0.8,-0.1,0.7000000000000001,-5.296296296296297,0.42934472934472934,0.2072063535089427,-0.6,-0.7,-0.4,negativ
95,-0.3,0.1,0.4,-0.3333333333333333,0.09230769230769229,0.09607689228305227,0.0,0.0,0.0,neutral
96,-0.7,0.0,0.7,-2.962962962962963,0.3652421652421652,0.19111309877718094,-0.3,-0.4,-0.1,negativ
97,0.0,0.3,0.3,0.3333333333333333,0.06153846153846154,0.07844645405527362,0.0,0.0,0.0,neutral
98,-1.0,0.6,1.6,-5.888888888888889,1.017948717948718,0.31905308617042366,-0.7,-0.75,-0.45,negativ
99,0.2,1.0,0.8,6.888888888888889,0.4025641025641026,0.20064000163579113,0.7,0.6,0.85,positiv
100,-0.7,0.9,1.6,5.518518518518518,1.0490028490028491,0.32388313463390606,0.6,0.45,0.7,positiv
